date,dock,forecast
2025/4/24,Lok Ma Chau Spur Line,75286.42042
2025/4/25,Lok Ma Chau Spur Line,83874.5366
2025/4/26,Lok Ma Chau Spur Line,99187.72206
2025/4/27,Lok Ma Chau Spur Line,112678.929
2025/4/28,Lok Ma Chau Spur Line,78677.77177
2025/4/29,Lok Ma Chau Spur Line,73009.49987
2025/4/30,Lok Ma Chau Spur Line,74433.1723
2025/5/1,Lok Ma Chau Spur Line,76981.05138
2025/5/2,Lok Ma Chau Spur Line,85569.16755
2025/5/3,Lok Ma Chau Spur Line,100882.353
2025/5/4,Lok Ma Chau Spur Line,114373.56
2025/5/5,Lok Ma Chau Spur Line,80372.40272
2025/5/6,Lok Ma Chau Spur Line,74704.13082
2025/5/7,Lok Ma Chau Spur Line,76127.80326
2025/5/8,Lok Ma Chau Spur Line,78675.68233
2025/4/9,Shenzhen Bay,50282.8804
2025/4/10,Shenzhen Bay,50689.15408
2025/4/11,Shenzhen Bay,58496.42454
2025/4/12,Shenzhen Bay,70096.69236
2025/4/13,Shenzhen Bay,90311.68919
2025/4/14,Shenzhen Bay,54316.70014
2025/4/15,Shenzhen Bay,49173.11529
2025/4/16,Shenzhen Bay,48568.52683
2025/4/17,Shenzhen Bay,51085.91091
2025/4/18,Shenzhen Bay,58903.25054
2025/4/19,Shenzhen Bay,71089.28952
2025/4/20,Shenzhen Bay,90223.7357
2025/4/21,Shenzhen Bay,55295.05972
2025/4/22,Shenzhen Bay,48935.01251
2025/4/23,Shenzhen Bay,49545.6658
2025/4/24,Shenzhen Bay,50904.35471
2025/4/25,Shenzhen Bay,59813.13538
2025/4/26,Shenzhen Bay,70966.39046
2025/4/27,Shenzhen Bay,91075.15305
2025/4/28,Shenzhen Bay,55225.45643
2025/4/29,Shenzhen Bay,49734.87591
2025/4/30,Shenzhen Bay,49523.99257
2025/5/1,Shenzhen Bay,51658.46527
2025/5/2,Shenzhen Bay,59834.37432
2025/5/3,Shenzhen Bay,71679.77827
2025/5/4,Shenzhen Bay,91134.73597
2025/5/5,Shenzhen Bay,55902.55143
2025/5/6,Shenzhen Bay,49828.69104
2025/5/7,Shenzhen Bay,50168.7241
2025/5/8,Shenzhen Bay,51782.82996
